H           1.008           1.0414152645E-22                 2.38E-010
He          4.0026                         0                         0
Li          6.941                          0                         0
Be          9.0122                         0                         0
B           10.811                         0                         0
C           12.01          2.1469176222E-022                3.043E-010
N           14.01          2.1469176222E-022                3.043E-010
O           16.00          2.1469176222E-022                3.043E-010
F           19.00               1.71436E-022                 2.43E-010
Ne          20.1797                        0                         0
Na          22.99               4.45414E-024               3.5369E-010
Mg          24.305                         0                         0
Al          26.9815                        0                         0
Si          28.09          2.1629393955E-022                  3.5E-010
P           30.9738                        0                         0
S           32.060         2.1629393955E-022                  3.5E-010
Cl          35.453                         0                         0
K           39.0983                        0                         0
Ar          39.948                         0                         0
Ca          40.078                         0                         0
Sc          44.9559                        0                         0
Ti          47.867                         0                         0
V           50.9415                        0                         0
Cr          51.9961                        0                         0
Mn          54.938                         0                         0
Fe          55.850         2.1629393955E-022                  3.5E-010
Ni          58.6934                        0                         0
Co          58.9332                        0                         0
Cu          63.546                         0                         0
Zn          65.39                          0                         0
Ga          69.723                         0                         0
Ge          72.64                          0                         0
As          74.9216                        0                         0
Se          78.96                          0                         0
Br          79.904                         0                         0
Kr          83.8                           0                         0
Rb          85.4678                        0                         0
Sr          87.62                          0                         0
Y           88.9059                        0                         0
Zr          91.224                         0                         0
Nb          92.9064                        0                         0
Mo          95.94                          0                         0
Tc          98                             0                         0
Ru          101.07                         0                         0
Rh          102.9055                       0                         0
Pd          106.42                         0                         0
Ag          107.8682                       0                         0
Cd          112.411                        0                         0
In          114.818                        0                         0
Sn          118.71                         0                         0
Sb          121.76                         0                         0
I           126.9045                       0                         0
Te          127.6                          0                         0
Xe          131.293                        0                         0
Cs          132.9055                       0                         0
Ba          137.327                        0                         0
La          138.9055                       0                         0
Ce          140.116                        0                         0
Pr          140.9077                       0                         0
Nd          144.24                         0                         0
Pm          145                            0                         0
Sm          150.36                         0                         0
Eu          151.964                        0                         0
Gd          157.25                         0                         0
Tb          158.9253                       0                         0
Dy          162.5                          0                         0
Ho          164.9303                       0                         0
Er          167.259                        0                         0
Tm          168.9342                       0                         0
Yb          173.04                         0                         0
Lu          174.967                        0                         0
Hf          178.49                         0                         0
Ta          180.9479                       0                         0
W           183.84                         0                         0
Re          186.207                        0                         0
Os          190.23                         0                         0
Ir          192.217                        0                         0
Pt          195.078                        0                         0
Au          196.9665                       0                         0
Hg          200.59                         0                         0
Tl          204.3833                       0                         0
Pb          207.2                          0                         0
Bi          208.9804                       0                         0
Po          209                            0                         0
At          210                            0                         0
Rn          222                            0                         0
Fr          223                            0                         0
Ra          226                            0                         0
Ac          227                            0                         0
Pa          231.0359                       0                         0
Th          232.0381                       0                         0
Np          237                            0                         0
U           238.0289                       0                         0
Am          243                            0                         0
Pu          244                            0                         0
Cm          247                            0                         0
Bk          247                            0                         0
Cf          251                            0                         0
Es          252                            0                         0
Fm          257                            0                         0
Md          258                            0                         0
No          259                            0                         0
Rf          261                            0                         0
Lr          262                            0                         0
Db          262                            0                         0
Bh          264                            0                         0
Sg          266                            0                         0
Mt          268                            0                         0
Rg          272                            0                         0
Hs          277                            0                         0
